pertubation,secondary_extinction
0.34106,0.106195
0.346026,0.0973451
0.350993,0.0973451
0.35596,0.106195
0.360927,0.123894
0.365894,0.106195
0.370861,0.106195
0.375828,0.106195
0.380795,0.115044
0.385762,0.0973451
0.390728,0.0973451
0.395695,0.106195
0.400662,0.123894
0.405629,0.106195
0.410596,0.0884956
0.415563,0.123894
0.42053,0.106195
0.425497,0.0973451
0.430464,0.132743
0.43543,0.141593
0.440397,0.123894
0.445364,0.123894
0.450331,0.123894
0.455298,0.106195
0.460265,0.0973451
0.465232,0.123894
0.470199,0.0973451
0.475166,0.150442
0.480132,0.159292
0.485099,0.115044
0.490066,0.123894
0.495033,0.168142
0.5,0.106195
0.504967,0.168142
0.509934,0.946903
0.514901,0.176991
0.519868,0.964602
0.524834,0.858407
0.529801,0.946903
0.534768,0.849558
0.539735,1.0
0.544702,0.938053
0.549669,0.955752
0.554636,0.920354
0.559603,0.867257
0.56457,0.876106
0.569536,0.920354
0.574503,0.955752
0.57947,0.973451
0.584437,0.964602
0.589404,1.0
0.594371,0.982301
0.599338,0.973451
0.604305,1.0
0.609272,0.955752
0.614238,0.99115
0.619205,0.973451
0.624172,0.920354
0.629139,0.99115
0.634106,0.99115
0.639073,0.938053
0.64404,0.955752
0.649007,0.955752
0.653974,1.0
0.65894,1.0
0.663907,0.99115
0.668874,0.99115
0.673841,0.964602
0.678808,0.982301
0.683775,0.955752
0.688742,0.99115
0.693709,1.0
0.698675,0.982301
0.703642,0.973451
0.708609,0.99115
0.713576,0.99115
0.718543,1.0
0.72351,0.964602
0.728477,1.0
0.733444,0.99115
0.738411,0.911504
0.743377,0.99115
0.748344,0.99115
0.753311,0.99115
0.758278,0.99115
0.761589,0.938053
0.764901,0.982301
0.768212,0.99115
0.771523,0.99115
0.774834,0.973451
0.778146,0.99115
